LotID,Agency,Area,Development,LotType,OBJECTID,LU_DESC,LU_TEXT,LU_DT_DESC,GPR,GPR_NUM,WHI_Q_MX,GPR_B_MN,REGION_N,PLN_AREA_N,SUBZONE_NO,SUBZONE_N,CREATE_BY,CREATE_DT,LST_MDF_BY,LST_MDF_DT,SYSTEM_ID,SHAPE_Length,SHAPE_Area,n_lots,Latitude,Longitude,nearest_temperature_station,nearest_rainfall_station,nearest_windspeed_station,nearest_weatherforecast_station
SE20,HDB,,BLK 264 SERANGOON CENTRAL,C,81711.0,COMMERCIAL & RESIDENTIAL,,,3.5,3.5,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,BAY SOON,1203338956000.0,Bay Soon,1571152181000.0,180718-87765,621.7880249930115,20520.577597013333,533.0,1.351577568,103.8720988,S115,S115,S115,Tuas
SE21,HDB,,BLK 262/263 SERANGOON CENTRAL,C,59584.0,COMMERCIAL & RESIDENTIAL,,COMMERCIAL & RESIDENTIAL - PUBLIC HOUSING,EVA,,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193308996000.0,Bay Soon,1571152181000.0,180718-63922,859.4959049657084,41679.3000592317,28.0,1.353436181,103.8720161,S115,S115,S115,Tuas
SE22,HDB,,BLK 261/263 SERANGOON CENTRAL,C,59584.0,COMMERCIAL & RESIDENTIAL,,COMMERCIAL & RESIDENTIAL - PUBLIC HOUSING,EVA,,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193308996000.0,Bay Soon,1571152181000.0,180718-63922,859.4959049657084,41679.3000592317,19.0,1.354156732,103.8721288,S115,S115,S115,Tuas
SE23,HDB,,BLK 253/254 SERANGOON CENTRAL DRIVE,C,59584.0,COMMERCIAL & RESIDENTIAL,,COMMERCIAL & RESIDENTIAL - PUBLIC HOUSING,EVA,,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193308996000.0,Bay Soon,1571152181000.0,180718-63922,859.4959049657084,41679.3000592317,164.33333333333334,1.354049907,103.8708389,S115,S115,S115,Tuas
SE24,HDB,,BLK 265 SERANGOON AVENUE 3,C,59584.0,COMMERCIAL & RESIDENTIAL,,COMMERCIAL & RESIDENTIAL - PUBLIC HOUSING,EVA,,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193308996000.0,Bay Soon,1571152181000.0,180718-63922,859.4959049657084,41679.3000592317,160.0,1.352764397,103.8714942,S115,S115,S115,Tuas
SE25,HDB,,BLK 401/408 SERANGOON CENTRAL/AVE 1,C,62805.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,7.0,UPPER PAYA LEBAR,ZAMRI BIN HASAN,1193309963000.0,Bay Soon,1571152240000.0,180718-67283,1181.9433011072572,65195.9416336344,164.0,1.346310249,103.8727234,S115,S115,S115,Tuas
SE26,HDB,,BLK 409/414 SERANGOON CENTRAL/AVE 1,C,62805.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,7.0,UPPER PAYA LEBAR,ZAMRI BIN HASAN,1193309963000.0,Bay Soon,1571152240000.0,180718-67283,1181.9433011072572,65195.9416336344,173.0,1.348961711,103.8741398,S115,S115,S115,Tuas
SE27,HDB,,BLK 421/427 SERANGOON CENTRAL/AVE 1,C,86154.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,7.0,UPPER PAYA LEBAR,BAY SOON,1222791894000.0,Bay Soon,1571152242000.0,180718-92783,2006.49986300679,100978.21579971613,379.6666666666667,1.348394753,103.8762489,S115,S115,S115,Tuas
SE28,HDB,,BLK 410A SERANGOON CENTRAL,C,62805.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,7.0,UPPER PAYA LEBAR,ZAMRI BIN HASAN,1193309963000.0,Bay Soon,1571152240000.0,180718-67283,1181.9433011072572,65195.9416336344,185.0,1.348195706,103.8736233,S115,S115,S115,Tuas
SE29,HDB,,BLK 2A LORONG LEW LIAN,C,86154.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,7.0,UPPER PAYA LEBAR,BAY SOON,1222791894000.0,Bay Soon,1571152242000.0,180718-92783,2006.49986300679,100978.21579971613,319.0,1.349902687,103.8757993,S115,S115,S115,Tuas
SE31,HDB,,BLK 514/520 SERANGOON NORTH AVENUE 4,C,48477.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887910000.0,Bay Soon,1571143948000.0,180718-52266,2158.4563390598905,145961.0563952084,195.0,1.371511971,103.8736719,S115,S115,S115,Tuas
SE32,HDB,,BLK 521/530 SERANGOON NORTH AVENUE 4,C,48477.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,3.0,SERANGOON NORTH,"CHAN SI XIAN, SERENE",1190887910000.0,Bay Soon,1571143948000.0,180718-52266,2158.4563390598905,145961.0563952084,263.0,1.372284801,103.8722967,S115,S115,S115,Tuas
